lntotalcashpad,royalty,numbids,advertisedacreage,totalcashpa_d
6.605416,.225,2,41,739.087
5.447963,.235,2,40,232.2845
6.060885,.1667,2,40,428.755
6.54809,.25,2,83,697.9095
5.824545,.23,2,83,338.507
6.955548,.25,3,539,1048.954
7.059586,.25,3,539,1163.963
7.009825,.235,3,539,1107.461
7.288029,.25,2,447,1462.684
7.054113,.25,2,447,1157.61
7.133878,.25,2,343,1253.73
7.054113,.25,2,343,1157.61
7.803415,.25,4,89,2448.952
7.446253,.2525,4,89,1713.43
6.153096,.25,4,89,470.1706
6.472999,.24,4,89,647.4224
7.803415,.25,6,944,2448.952
7.446253,.2525,6,944,1713.43
6.89035,.3,6,944,982.7454
6.153096,.25,6,944,470.1707
6.721237,.25,6,944,829.8434
7.494078,.225,6,944,1797.367
7.981176,.27,3,707.96,2925.369
7.843554,.25,3,707.96,2549.25
7.462654,.25,3,707.96,1741.765
7.970322,.25,2,146,2893.79
7.631313,.3333,2,146,2061.755
8.024515,.23,3,626.43,3054.94
6.758614,.26,3,626.43,861.447
6.947018,.225,3,626.43,1040.043
5.769362,.1875,3,123.5,320.3333
5.356559,.2,3,123.5,211.9943
5.43289,.2,3,123.5,228.8095
8.402219,.205,3,698,4456.943
7.0507,.25,3,698,1153.666
7.325137,.252,3,698,1517.981
6.488412,.225,2,182,657.4785
6.151801,.21,2,182,469.5622
6.907599,.25,2,297,999.8437
6.83629,.225,2,297,931.0286
8.630708,.2525,4,245,5601.042
8.480851,.2376,4,245,4821.554
8.306966,.205,4,245,4051.998
7.912923,.26,4,245,2732.366
6.745318,.25,3,639,850.0695
6.569015,.2,3,639,712.6673
6.454456,.25,3,639,635.5282
6.45461,.2,2,207,635.626
6.024223,.1875,2,207,413.3202
7.040632,.252,3,1123,1142.109
6.775082,.22,3,1123,875.7515
6.630296,.225,3,1123,757.7066
6.559971,.252,2,455,706.2512
6.630296,.225,2,455,757.7067
6.946593,.25,2,181,1039.602
6.336827,.22,2,181,565.001
6.944261,.225,3,120,1037.18
6.713305,.22,3,120,823.2871
6.693502,.22,3,120,807.1442
6.944261,.225,2,162,1037.18
6.69849,.225,2,162,811.1799
7.394122,.22,3,158,1626.396
6.69849,.225,3,158,811.1799
6.944261,.225,3,158,1037.18
6.51995,.225,2,116,678.5447
5.731246,.1875,2,116,308.3531
6.314418,.2,2,47,552.4803
5.731246,.1875,2,47,308.3531
6.054663,.166667,4,180,426.0952
5.312535,.1875,4,180,202.8639
5.731246,.1875,4,180,308.3531
5.332338,.1667,4,180,206.9211
6.432201,.25,2,94,621.5403
5.605205,.2,2,94,271.8376
7.104295,.25,2,534,1217.183
7.202631,.21,2,534,1342.959
7.902807,.3,2,41.088,2704.865
7.644679,.255,2,41.088,2089.498
7.275443,.265,2,114,1444.391
6.928966,.255,2,114,1021.437
6.424393,.22,2,560,616.7061
5.338203,.22,2,560,208.1383
7.024963,.25,2,1500,1124.353
6.411148,.225,2,1500,608.5916
8.323156,.27,2,330,4118.137
6.823257,.25,2,330,918.9733
6.826695,.3,2,90,922.1379
7.143516,.225,2,90,1265.871
5.72764,.2,3,255.28,307.2434
5.555549,.1875,3,255.28,258.669
4.648377,.255,3,255.28,104.4154
7.019883,.25,3,352,1118.655
6.149636,.1667,3,352,468.5468
6.412,.2625,3,352,609.1108
6.964263,.25,3,297,1058.135
6.149636,.1667,3,297,468.5468
6.412,.2625,3,297,609.1107
7.095486,.25,3,60,1206.508
6.665946,.2125,3,60,785.2062
5.81066,.2625,3,60,333.8396
7.050813,.23,2,840,1153.796
6.813182,.23,2,840,909.7616
8.752689,.237,2,438.8,6327.685
6.672934,.21,2,438.8,790.7117
6.756771,.25,4,200,859.8614
6.52693,.245,4,200,683.2974
6.265565,.253,4,200,526.139
6.744802,.24,4,200,849.6314
7.358596,.25,3,44.98,1569.632
7.353609,.23,3,44.98,1561.823
6.922826,.27,3,44.98,1015.185
7.163205,.225,2,600,1291.042
6.497942,.225,2,600,663.7745
6.986162,.25,3,40,1081.562
6.709251,.225,3,40,819.9568
6.21026,.25,3,40,497.8309
7.028571,.275,3,160,1128.417
6.412,.2625,3,160,609.1107
6.956856,.25,3,160,1050.326
6.956856,.25,3,40,1050.326
6.412,.2625,3,40,609.1107
6.685154,.1667,3,40,800.434
6.275475,.2,2,577,531.3788
5.282223,.25,2,577,196.807
5.687689,.166667,2,45,295.2105
5.302026,.125,2,45,200.7431
5.377533,.18,2,245,216.4877
4.953719,.19,2,245,141.701
6.413626,.2,2,53,610.1016
5.39587,.19,2,53,220.4939
5.377533,.18,2,397,216.4877
4.953719,.19,2,397,141.701
6.693211,.205,3,51,806.9086
5.986145,.35,3,51,397.8777
5.700934,.19,3,51,299.1466
6.704109,.22,2,345,815.7507
5.381164,.22,2,345,217.2749
7.896999,.303,2,300,2689.2
7.649347,.26,2,300,2099.274
7.357071,.25,2,1191.53,1567.239
7.124551,.26,2,1191.53,1242.091
7.154026,.25,6,787.88,1279.245
6.89963,.25,6,787.88,991.9072
6.705332,.225,6,787.88,816.749
6.913961,.22,6,787.88,1006.225
6.859138,.2,6,787.88,952.5457
6.024161,.24,6,787.88,413.2946
5.486122,.2,2,195,241.3196
5.058307,.1875,2,195,157.3239
5.775075,.2,3,97,322.1686
5.033614,.1875,3,97,153.4867
5.266654,.25,3,97,193.7664
5.486122,.2,2,160,241.3195
5.315026,.1875,2,160,203.3699
7.700842,.271,2,322,2210.209
6.866196,.225,2,322,959.2919
6.566495,.2125,2,270,710.8737
6.021364,.22,2,270,412.1402
5.970811,.22,2,284,391.8235
5.873348,.2125,2,284,355.4368
4.355355,.17,2,632.8,77.89451
1.344735,.1667,2,632.8,3.837168
7.700842,.271,2,43,2210.208
6.866196,.225,2,43,959.2919
7.042594,.26,2,421,1144.353
7.091384,.26,2,421,1201.57
7.091385,.26,2,482,1201.57
6.784385,.253,2,482,883.9362
7.199598,.25,2,203,1338.893
6.980719,.275,2,203,1075.692
5.953933,.2,3,137.9,385.2654
4.936125,.1667,3,137.9,139.2297
5.299626,.22,3,137.9,200.2619
5.892689,.1875,2,641,362.3784
4.392813,.2,2,641,80.8676
6.661546,.25,2,170.07,781.7582
5.943982,.25,2,170.07,381.4509
8.295358,.3,2,51,4005.235
7.725184,.25,2,51,2264.669
6.360574,.25,3,156,578.5785
4.859561,.1667,3,156,128.9676
6.22279,.215,3,156,504.108
6.360574,.25,2,276,578.5785
5.657476,.205,2,276,286.425
9.261161,.26,2,71,10521.34
7.243322,.4,2,71,1398.733
9.430391,.26,2,40,12461.4
7.713326,.35,2,40,2237.973
7.205379,.22,2,143,1346.656
7.063574,.22,2,143,1168.614
7.33395,.27,2,924,1531.419
6.485155,.23,2,924,655.3404
6.638306,.22,2,241,763.8
6.674975,.2,2,241,792.3279
6.237828,.213,2,100,511.746
5.982069,.21,2,100,396.2594
7.375057,.23,2,718,1595.682
6.969586,.24,2,718,1063.782
6.885166,.22,2,406,977.6639
6.69236,.21,2,406,806.2228
7.343875,.26,4,297.523,1546.695
6.765286,.27,4,297.523,867.2145
7.149122,.26,4,297.523,1272.987
7.220521,.28,4,297.523,1367.202
5.938133,.2,2,183,379.2261
5.571507,.1875,2,183,262.83
7.465049,.28,2,260,1745.942
6.63128,.25,2,260,758.4521
7.53762,.27,2,63,1877.357
7.186643,.25,2,63,1321.659
8.040662,.26,2,430,3104.668
7.386797,.25,2,430,1614.527
6.730189,.25,2,224.64,837.3058
6.643079,.24,2,224.64,767.4545
7.469341,.2923,2,556.12,1753.451
6.84954,.2667,2,556.12,943.4469
6.351817,.25,2,65,573.5341
5.547664,.195,2,65,256.6373
7.335144,.28,3,300,1533.248
7.415009,.24,3,300,1660.725
7.243815,.24,3,300,1399.423
6.365063,.1667,2,149,581.1812
5.723208,.2,2,149,305.8848
6.349067,.2,2,106,571.9586
2.8896,.125,2,106,17.98612
7.131445,.28,2,277,1250.683
7.100105,.255,2,277,1212.095
7.075004,.275,3,89,1182.048
7.334883,.25,3,89,1532.849
6.883609,.26,3,89,976.1426
7.39287,.26,2,58,1624.362
7.147564,.3,2,58,1271.006
8.246186,.25,2,658,3813.057
7.052263,.26,2,658,1155.471
7.331619,.3,2,60,1527.854
6.889723,.26,2,60,982.1291
6.048952,.22,3,1615,423.6688
5.601107,.25,3,1615,270.7259
5.992392,.22,3,1615,400.371
7.853144,.22,2,310,2573.813
7.332393,.28,2,310,1529.036
5.734238,.2,2,160,309.277
5.692187,.2,2,160,296.5414
7.853144,.22,2,99.4,2573.813
7.332393,.28,2,99.4,1529.036
8.409812,.21,2,42,4490.917
8.444733,.2,2,42,4650.511
6.85952,.23,3,42.935,952.9095
6.299903,.2,3,42.935,544.5193
5.606756,.1667,3,42.935,272.2597
6.768555,.3,2,56,870.0535
6.935763,.2575,2,56,1028.403
6.58453,.22,2,363.7,723.8105
5.241079,.19,2,363.7,188.8737
7.019396,.255,2,120,1118.111
6.607286,.225,2,120,740.4711
7.394754,.226,2,888,1627.425
7.240604,.271,2,888,1394.936
6.859831,.25,2,80,953.2064
5.424552,.1875,2,80,226.9096
6.723442,.25,2,300,831.6749
6.425765,.21,2,300,617.553
6.330604,.1875,2,84,561.4954
6.150466,.25,2,84,468.936
4.520677,.166667,3,249.5,91.89777
3.604386,.125,3,249.5,36.75911
4.011853,.125,3,249.5,55.24916
4.520677,.1667,2,640,91.89777
3.604386,.125,2,640,36.75911
5.647646,.1875,2,303,283.623
4.852716,.2,2,303,128.0878
6.834624,.34,2,444.72,929.4786
7.291329,.23,2,444.72,1467.521
7.988211,.2,5,40,2946.02
5.970197,.2,5,40,391.5828
6.341438,.2,5,40,567.6121
6.722318,.25,5,40,830.7411
7.389833,.3,5,40,1619.436
8.332946,.35,7,160.79,4158.65
6.378443,.2,7,160.79,589.0096
7.539258,.3,7,160.79,1880.433
6.049344,.26,7,160.79,423.8349
8.361031,.3,7,160.79,4277.1
5.915584,.2,7,160.79,370.7708
7.500037,.25,7,160.79,1808.109
5.74352,.18,2,315,312.1612
5.933799,.205,2,315,377.5862
5.931371,.1875,2,130,376.6706
5.784195,.2125,2,130,325.1203
5.931371,.1875,3,130,376.6706
5.390986,.2,3,130,219.4198
5.784195,.2125,3,130,325.1203
4.004692,.1875,3,83,54.85494
