roy_dm,lncpad_dm,accbid
-.0046465,.1082172,0
.0126459,.5985827,1
.0126459,.0844836,0
.0130555,.4828777,1
.0130555,-.0312214,0
.0096627,.4377985,1
.0096627,.1948524,0
.0085881,.5417161,1
.0085881,.027617,0
.0140703,.6247878,1
.0140703,.1106887,0
-.0281448,-.5224395,1
-.0351448,-.6177497,0
.0140279,.4347339,1
.0140279,.1635423,0
-.007063,-.3570042,1
.017937,-.91746,0
.0225247,-.3347907,1
.0225247,-.7435503,0
.0212743,.0207639,1
.0212743,-.7802157,0
.0218953,.0388737,1
.0218953,-.7621059,0
.0183143,.1003394,1
-.0066857,-.0752563,0
.0183143,.0757713,1
-.0066857,-.7205544,0
.0183143,.1003394,1
-.0066857,-.0752563,0
.0349711,2.085511,1
.0349711,1.986116,0
-.0162532,-.2750759,1
-.0187532,-.5084529,0
-.0131572,-.2120585,1
-.0156572,-.4454355,0
-.0122883,-1.061336,1
-.0222883,-.9743247,0
.0107543,1.086881,1
.0107543,.6756492,0
.0098822,-.3252034,1
-.0151178,-.4697847,0
.0147341,1.359804,1
.0147341,-.1712561,0
.0143247,1.329894,1
.0143247,-.2011671,0
.0127643,.5418797,1
.0127643,-.3026676,0
.0134707,.1449389,1
-.0065293,.1175632,0
-.0206541,-.2579794,1
-.0156541,-.4732709,0
.0165482,.9752498,1
.0165482,-.5408187,0
.0111802,-.6820164,1
-.0388198,-2.068311,0
-.0032595,.975111,1
-.0032595,.0644364,0
-.0042279,-.5244637,1
-.0192279,-.3973088,0
.014114,.8232551,1
.014114,.3107691,0
.0226916,.4187641,1
.0014416,.1226559,0
.0202123,.9575648,1
-.0047877,.6689324,0
.0046591,-.3948536,1
-.0053409,-.6419125,0
.0166636,.3342857,1
-.0458364,-.9428091,0
-.0173937,.3595295,1
-.0173937,-1.067587,0
.0277076,.3186836,1
.0277076,-.2437077,0
.0049463,1.665045,1
-.0150537,.810801,0
.0077679,-.8581719,1
-.0442321,-1.052446,0
.0146555,-.7154613,1
.0096555,.1807146,0
.0166971,1.058821,1
.0216971,.2506237,0
.0057861,-.0351353,1
-.0442139,-.0464344,0
.0347367,.3211017,1
.0147367,.6433859,0
.0283319,.0189114,1
-.0116681,-.6546273,0
-.03566,-.7776418,1
-.03566,-1.709806,0
.0216828,.7875304,1
.0266828,.6643295,0
-.0408622,-1.252941,0
-.0008622,-.7928882,1
.0086701,.6099396,1
-.0488299,-.7783527,0
.0166836,.101182,0
.0166836,.6664958,1
-.0221481,.2341199,1
-.0021482,-.0246506,0
.0121426,.4805965,1
.0121426,-.40558,0
.0063078,.2395372,1
.0063078,-.1472974,0
-.0068007,-.2225332,0
-.0058007,-.1535401,1
.0433767,-.9126344,0
.0433767,-.1141267,1
.0421534,.6499047,0
.0171534,1.314598,1
.0062866,-.7925415,0
.0062866,-.1885471,1
-.0212139,-.666975,1
-.0512139,-.3210588,0
.022731,-.5013881,0
.022731,-.1804595,1
-.031481,.4375329,1
-.013981,.2443147,0
