win,dcn,drn,diffc,diffr,lndiffc,index,n,cash,roy,oroy,ocash
1,.252,.906,-281.3231,.05,-.5048605,.522,86,428.3536,.275,.225,709.6767
0,.348,.258,-166.8909,-.02,-.2600767,.67,87,561.8664,.25,.27,728.7573
1,.652,.734,166.8909,.02,.2600767,.67,87,728.7573,.27,.25,561.8664
0,.432,.056,-83.4455,-.07,-.1216071,.67,88,645.3118,.2,.27,728.7573
1,.566,.942,83.4455,.07,.1216071,.67,88,728.7573,.27,.2,645.3118
0,.024,.994,-1980.44,.208,-1.995672,.038,89,311.5299,.46,.252,2291.97
1,.976,.004,1980.44,-.208,1.995672,.038,89,2291.97,.252,.46,311.5299
0,.018,.71,-2013.818,.018,-2.109,.038,90,278.1517,.27,.252,2291.97
1,.982,.29,2013.818,-.018,2.109,.038,90,2291.97,.252,.27,278.1516
0,.472,.582,-13.90662,.0000333,-.0487902,.232,91,278.1321,.1667,.1666667,292.0387
1,.528,.414,13.90662,-.0000333,.0487902,.232,91,292.0387,.1666667,.1667,278.1321
0,.346,.246,-391.1649,-.025,-.2653113,.302,92,1287.418,.23,.255,1678.583
1,.652,.752,391.1649,.025,.2653113,.302,92,1678.583,.255,.23,1287.418
0,.332,.266,-189.1298,-.02,-.2901542,.37,93,561.8268,.23,.25,750.9567
1,.666,.712,189.1298,.02,.2901542,.37,93,750.9567,.25,.23,561.8268
0,.414,.624,-126.1051,.006,-.1592394,.398,94,730.5418,.206,.2,856.6469
1,.584,.376,126.1051,-.006,.1592394,.398,94,856.6469,.2,.206,730.5418
0,.604,.294,75.81885,-.015,.1867816,.468,95,445.0114,.22,.235,369.1926
1,.396,.698,-75.81885,.015,-.1867816,.468,95,369.1926,.235,.22,445.0114
0,.228,.128,-435.561,-.046,-.5409906,.324,96,606.8782,.22,.266,1042.439
1,.772,.87,435.561,.046,.5409906,.324,96,1042.439,.266,.22,606.8782
0,.382,.742,-32.81949,.0208,-.2003283,.226,97,147.9663,.1875,.1667,180.7858
1,.618,.254,32.81949,-.0208,.2003283,.226,97,180.7858,.1667,.1875,147.9663
0,.34,.294,-140.8741,-.015,-.2827509,.4,98,431.1048,.215,.23,571.9789
1,.66,.698,140.8741,.015,.2827509,.4,98,571.9789,.23,.215,431.1048
0,.514,.192,13.48932,-.03,.0233098,.4,99,585.4682,.2,.23,571.9789
1,.484,.788,-13.48932,.03,-.0233098,.4,99,571.9789,.23,.2,585.4682
0,.152,.636,-386.9374,.01,-.8074321,.388,100,311.508,.21,.2,698.4454
1,.848,.346,386.9374,-.01,.8074321,.388,100,698.4454,.2,.21,311.508
0,.822,.188,205.519,-.0333,.6931113,.362,101,411.0527,.1667,.2,205.5337
1,.178,.81,-205.519,.0333,-.6931113,.362,101,205.5337,.2,.1667,411.0527
0,.014,.218,-3063.063,-.027,-2.219982,.882,102,373.2183,.2,.227,3436.281
1,.986,.782,3063.063,.027,2.219982,.882,102,3436.281,.227,.2,373.2183
0,.062,.786,-2593.526,.028,-1.405469,.882,103,842.7549,.255,.227,3436.281
1,.938,.212,2593.526,-.028,1.405469,.882,103,3436.281,.227,.255,842.7549
0,.008,.876,-3203.4,.048,-2.691618,.882,104,232.8809,.275,.227,3436.281
1,.992,.124,3203.4,-.048,2.691618,.882,104,3436.281,.227,.275,232.8809
0,.018,.33,-3014.356,-.012,-2.097317,.882,105,421.9254,.215,.227,3436.281
1,.982,.666,3014.356,.012,2.097317,.882,105,3436.281,.227,.215,421.9253
0,.06,.986,-5346.554,.135,-1.411133,.722,106,1724.361,.4,.265,7070.916
1,.938,.012,5346.554,-.135,1.411133,.722,106,7070.916,.265,.4,1724.361
0,.058,.634,-628.3047,.0083,-1.43153,.244,107,197.2638,.175,.1667,825.5685
1,.942,.366,628.3047,-.0083,1.43153,.244,107,825.5685,.1667,.175,197.2638
0,.028,.418,-690.9357,0,-1.813521,.244,108,134.6328,.1667,.1667,825.5685
1,.97,.418,690.9357,0,1.813521,.244,108,825.5685,.1667,.1667,134.6328
0,.304,.742,-251.4942,.0208,-.3633134,.244,109,574.0743,.1875,.1667,825.5685
1,.696,.254,251.4942,-.0208,.3633134,.244,109,825.5685,.1667,.1875,574.0743
0,.43,.582,-50.63437,.0000333,-.1227944,.054,110,387.5518,.1667,.1666667,438.1861
1,.57,.414,50.63437,-.0000333,.1227944,.054,110,438.1861,.1666667,.1667,387.5518
0,.432,.582,-56.88358,.0000333,-.1220585,.03,111,438.1721,.1667,.1666667,495.0557
1,.568,.414,56.88358,-.0000333,.1220585,.03,111,495.0557,.1666667,.1667,438.1721
0,.454,.418,-25.34839,0,-.0941183,.092,112,256.8495,.1875,.1875,282.1979
1,.546,.418,25.34839,0,.0941183,.092,112,282.1979,.1875,.1875,256.8495
0,.788,.14,90.03456,-.0425,.586463,.182,113,202.9137,.1875,.23,112.8792
1,.212,.858,-90.03456,.0425,-.586463,.182,113,112.8792,.23,.1875,202.9137
0,.064,.604,-2031.296,.005,-1.379598,.348,114,683.1786,.265,.26,2714.475
1,.934,.38,2031.296,-.005,1.379598,.348,114,2714.475,.26,.265,683.1786
0,.652,.048,264.9205,-.0812,.2613648,.406,115,1151.828,.1688,.25,886.9076
1,.348,.952,-264.9205,.0812,-.2613648,.406,115,886.9076,.25,.1688,1151.828
0,.258,.418,-344.0126,0,-.4908248,.406,116,542.895,.25,.25,886.9076
1,.742,.418,344.0126,0,.4908248,.406,116,886.9076,.25,.25,542.895
0,.214,.418,-87.348,0,-.5798185,.21,117,111.1702,.1875,.1875,198.5182
1,.786,.418,87.348,0,.5798185,.21,117,198.5182,.1875,.1875,111.1702
0,.002,.064,-6045.541,-.0625,-4.652227,.868,118,58.232,.1875,.25,6103.772
1,.998,.926,6045.541,.0625,4.652227,.868,118,6103.772,.25,.1875,58.23193
0,.008,.266,-5653.798,-.02,-2.607471,.868,119,449.9746,.23,.25,6103.772
1,.992,.712,5653.798,.02,2.607471,.868,119,6103.772,.25,.23,449.9746
0,.076,.146,-4335.637,-.04,-1.238981,.868,120,1768.135,.21,.25,6103.772
1,.924,.842,4335.637,.04,1.238981,.868,120,6103.772,.25,.21,1768.136
0,.052,.754,-1288.886,.025,-1.482456,.456,121,378.6668,.25,.225,1667.553
1,.946,.22,1288.886,-.025,1.482456,.456,121,1667.553,.225,.25,378.6669
0,.094,.994,-1111.702,.175,-1.098612,.456,122,555.851,.4,.225,1667.553
1,.904,.006,1111.702,-.175,1.098612,.456,122,1667.553,.225,.4,555.851
0,.164,.754,-873.4799,.025,-.7419372,.456,123,794.0728,.25,.225,1667.553
1,.834,.22,873.4799,-.025,.7419372,.456,123,1667.553,.225,.25,794.0728
0,.282,.146,-139.6245,-.04,-.4118857,.496,124,273.9551,.21,.25,413.5796
1,.716,.842,139.6245,.04,.4118857,.496,124,413.5796,.25,.21,273.9551
0,.36,.22,-145.6609,-.025,-.2429461,.334,125,529.676,.225,.25,675.3369
1,.64,.754,145.6609,.025,.2429461,.334,125,675.3369,.25,.225,529.676
0,.194,.048,-311.3965,-.0825,-.6284598,.28,126,355.9952,.18,.2625,667.3917
1,.804,.952,311.3965,.0825,.6284598,.28,126,667.3917,.2625,.18,355.9952
0,.212,.094,-528.2017,-.05,-.5856154,.434,127,663.4901,.205,.255,1191.692
1,.788,.88,528.2017,.05,.5856154,.434,127,1191.692,.255,.205,663.4901
0,.478,.22,-31.12665,-.025,-.0338431,.276,128,904.2589,.22,.245,935.3856
1,.522,.754,31.12665,.025,.0338431,.276,128,935.3856,.245,.22,904.2589
0,.25,.292,-791.9597,-.0175,-.5066786,.19,129,1200.359,.2675,.285,1992.318
1,.748,.708,791.9597,.0175,.5066786,.19,129,1992.318,.285,.2675,1200.359
0,.046,.03,-961.8088,-.09,-1.534714,.32,130,264.2332,.17,.26,1226.042
1,.954,.97,961.8088,.09,1.534714,.32,130,1226.042,.26,.17,264.2332
0,.61,.06,55.40591,-.0675,.1912689,.186,131,318.261,.1875,.255,262.8551
1,.39,.94,-55.40591,.0675,-.1912689,.186,131,262.8551,.255,.1875,318.261
0,.422,.418,-244.0968,0,-.1445019,.294,132,1570.119,.275,.275,1814.215
1,.578,.418,244.0968,0,.1445019,.294,132,1814.215,.275,.275,1570.119
0,.396,.334,-309.9604,-.01,-.1873554,.294,133,1504.255,.265,.275,1814.215
1,.604,.664,309.9604,.01,.1873554,.294,133,1814.215,.275,.265,1504.255
0,.508,.258,15.01233,-.02,.0094965,.5,134,1588.338,.265,.285,1573.325
1,.492,.734,-15.01233,.02,-.0094965,.5,134,1573.325,.285,.265,1588.338
0,.254,.122,-338.4169,-.049,-.5031708,.35,135,517.4907,.201,.25,855.9075
1,.746,.878,338.4169,.049,.5031708,.35,135,855.9075,.25,.201,517.4907
0,.354,.418,-84.37595,0,-.2484613,.716,136,299.1511,.1875,.1875,383.5271
1,.646,.418,84.37595,0,.2484613,.716,136,383.5271,.1875,.1875,299.1511
0,.16,.038,-281.2532,-.0833,-.7864792,.344,137,235.2299,.1667,.25,516.4832
1,.84,.952,281.2532,.0833,.7864792,.344,137,516.4832,.25,.1667,235.2299
0,.204,.064,-235.2299,-.0625,-.6077873,.344,138,281.2532,.1875,.25,516.4832
1,.794,.926,235.2299,.0625,.6077873,.344,138,516.4832,.25,.1875,281.2532
0,.496,.038,0,-.0833,0,.308,139,317.049,.1667,.25,317.049
1,.496,.952,0,.0833,0,.308,139,317.049,.25,.1667,317.049
0,.176,.064,-654.5529,-.0625,-.6931472,.174,140,654.5529,.1875,.25,1309.106
1,.822,.926,654.5529,.0625,.6931472,.174,140,1309.106,.25,.1875,654.5529
0,.434,.25,-148.2971,-.023,-.1202274,.174,141,1160.809,.227,.25,1309.106
1,.566,.75,148.2971,.023,.1202274,.174,141,1309.106,.25,.227,1160.809
0,.026,.86,-815.3786,.043,-1.915106,.348,142,140.8823,.25,.207,956.2609
1,.974,.138,815.3786,-.043,1.915106,.348,142,956.2609,.207,.25,140.8823
0,.28,.288,-327.2765,-.0195,-.4189243,.348,143,628.9844,.1875,.207,956.2609
1,.72,.712,327.2765,.0195,.4189243,.348,143,956.2609,.207,.1875,628.9844
0,.376,.418,-159.3102,0,-.2130933,.71,144,670.7795,.2,.2,830.0897
1,.624,.418,159.3102,0,.2130933,.71,144,830.0897,.2,.2,670.7795
0,.096,.082,-2007.941,-.055,-1.087835,.69,145,1020.377,.22,.275,3028.318
1,.904,.916,2007.941,.055,1.087835,.69,145,3028.318,.275,.22,1020.377
0,.216,.916,-2321.148,.055,-.5689894,.442,146,3028.318,.275,.22,5349.467
1,.782,.082,2321.148,-.055,.5689894,.442,146,5349.467,.22,.275,3028.318
0,.01,.266,-4916.814,-.02,-2.514817,.442,147,432.6528,.2,.22,5349.467
1,.99,.712,4916.814,.02,2.514817,.442,147,5349.467,.22,.2,432.6528
0,.406,.38,-105.7686,-.005,-.174717,.784,148,554.0255,.205,.21,659.7941
1,.592,.604,105.7686,.005,.174717,.784,148,659.7941,.21,.205,554.0255
0,.12,.418,-622.8563,0,-.9244475,.628,149,409.6458,.25,.25,1032.502
1,.878,.418,622.8563,0,.9244475,.628,149,1032.502,.25,.25,409.6458
0,.072,.788,-1324.226,.03,-1.253907,.664,150,528.8426,.25,.22,1853.068
1,.926,.192,1324.226,-.03,1.253907,.664,150,1853.068,.22,.25,528.8425
